time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2004/5/15,58,7,1,3.965517241,0.25862069,6,3,1,0,1,"[0,110)",1,203,0.338333333
2004/5/16,56,1,1,3.964285714,0.035714286,6,0,1,115,2,"[110,150)",2,198,0.33
2004/5/17,106,2,0,3.91509434,0.169811321,10,5,1,145,3,"[150,1000)",3,199,0.331666667
2004/5/18,113,3,0,3.663716814,0.097345133,8,1,1,,,,,,
2004/5/19,128,4,0,4.1171875,0.3125,23,10,2,,,,,,
2004/5/20,115,5,0,3.956521739,0.165217391,11,4,2,,,,,,
2004/5/21,86,6,0,3.534883721,0.23255814,6,5,1,,,,,,
2004/5/22,73,7,1,3.863013699,0.136986301,11,2,1,,,,,,
2004/5/23,69,1,1,3.536231884,0.144927536,6,3,1,,,,,,
2004/5/24,117,2,0,3.931623932,0.230769231,20,6,2,,,,,,
2004/5/25,116,3,0,3.818965517,0.267241379,11,7,2,,,,,,
2004/5/26,109,4,0,3.880733945,0.321100917,8,8,1,,,,,,
2004/5/27,113,5,0,3.955752212,0.424778761,12,11,1,,,,,,
2004/5/28,87,6,0,3.83908046,0.229885057,11,5,1,,,,,,
2004/5/29,61,7,1,3.704918033,0.213114754,4,3,1,,,,,,
2004/5/30,65,1,1,4.046153846,0.507692308,10,8,1,,,,,,
2004/5/31,63,2,0,4.095238095,0.222222222,8,3,1,,,,,,
2004/6/1,94,3,0,3.64893617,0.053191489,8,1,1,,,,,,
2004/6/2,134,4,0,4.007462687,0.388059701,20,10,2,,,,,,
2004/6/3,94,5,0,3.79787234,0.106382979,9,3,1,,,,,,
2004/6/4,103,6,0,3.699029126,0.145631068,16,3,1,,,,,,
2004/6/5,69,7,1,3.971014493,0.231884058,8,4,1,,,,,,
2004/6/6,59,1,1,3.661016949,0.220338983,7,2,1,,,,,,
2004/6/7,89,2,0,3.898876404,0.247191011,10,3,1,,,,,,
2004/6/8,113,3,0,3.946902655,0.327433628,14,8,1,,,,,,
