time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2006/1/5,100,5,0,3.63,0.17,10,3,2,0,1,"[0,110)",1,193,0.321666667
2006/1/6,95,6,0,3.968421053,0.052631579,9,1,1,100,2,"[110,150)",2,232,0.386666667
2006/1/7,76,7,1,4.105263158,0.381578947,17,6,1,130,3,"[150,1000)",3,175,0.291666667
2006/1/8,78,1,1,3.794871795,0.294871795,5,5,1,,,,,,
2006/1/9,86,2,0,3.953488372,0.174418605,11,4,1,,,,,,
2006/1/10,115,3,0,4.026086957,0.304347826,13,8,2,,,,,,
2006/1/11,105,4,0,3.923809524,0.2,11,4,2,,,,,,
2006/1/12,146,5,0,3.678082192,0.054794521,16,1,3,,,,,,
2006/1/13,113,6,0,3.867256637,0.380530973,11,10,2,,,,,,
2006/1/14,105,7,1,4.019047619,0.19047619,11,5,2,,,,,,
2006/1/15,97,1,1,3.93814433,0.268041237,14,7,1,,,,,,
2006/1/16,126,2,0,3.857142857,0.031746032,11,1,2,,,,,,
2006/1/17,122,3,0,3.836065574,0.319672131,7,8,2,,,,,,
2006/1/18,131,4,0,3.770992366,0.221374046,6,7,3,,,,,,
2006/1/19,115,5,0,3.8,0.269565217,5,8,2,,,,,,
2006/1/20,114,6,0,3.98245614,0.315789474,8,9,2,,,,,,
2006/1/21,84,7,1,3.547619048,0.083333333,5,2,1,,,,,,
2006/1/22,68,1,1,3.882352941,0.102941176,4,2,1,,,,,,
2006/1/23,107,2,0,3.635514019,0.252336449,5,5,2,,,,,,
2006/1/24,112,3,0,4,0.294642857,13,9,2,,,,,,
2006/1/25,146,4,0,3.904109589,0.260273973,10,8,3,,,,,,
2006/1/26,151,5,0,3.82781457,0.225165563,6,8,3,,,,,,
2006/1/27,102,6,0,3.911764706,0.470588235,12,11,2,,,,,,
2006/1/28,97,7,1,3.855670103,0.340206186,11,9,1,,,,,,
2006/1/29,86,1,1,4.046511628,0.558139535,8,10,1,,,,,,
