time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2007/11/21,195,4,0,4.056410256,0.420512821,15,20,3,,,,,,
2007/11/22,138,5,0,3.891304348,0.297101449,10,10,2,,,,,,
2007/11/23,114,6,0,3.684210526,0.394736842,8,11,1,,,,,,
2007/11/24,98,7,1,3.836734694,0.37755102,6,8,1,,,,,,
2007/11/25,108,1,1,4.111111111,0.444444444,10,12,1,,,,,,
2007/11/26,182,2,0,3.961538462,0.318681319,11,13,3,,,,,,
2007/11/27,158,3,0,3.911392405,0.443037975,6,17,2,,,,,,
2007/11/28,179,4,0,3.782122905,0.659217877,8,27,3,,,,,,
2007/11/29,175,5,0,4.011428571,0.44,18,19,3,,,,,,
2007/11/30,157,6,0,4.171974522,0.369426752,21,14,2,,,,,,
2007/12/1,110,7,1,4.027272727,0.509090909,12,14,1,,,,,,
2007/12/2,122,1,1,3.918032787,0.155737705,12,4,2,,,,,,
2007/12/3,184,2,0,4.065217391,0.445652174,12,20,3,,,,,,
2007/12/4,211,3,0,3.777251185,0.36492891,15,18,3,,,,,,
2007/12/5,174,4,0,3.925287356,0.747126437,16,30,3,,,,,,
2007/12/6,168,5,0,3.869047619,0.553571429,11,23,2,,,,,,
2007/12/7,155,6,0,3.812903226,0.535483871,4,21,2,,,,,,
2007/12/8,91,7,1,3.989010989,0.362637363,8,8,1,,,,,,
2007/12/9,86,1,1,4.081395349,0.290697674,6,6,1,,,,,,
2007/12/10,202,2,0,4.272277228,0.400990099,14,20,3,,,,,,
2007/12/11,164,3,0,3.817073171,0.408536585,6,14,2,,,,,,
2007/12/12,105,4,0,3.904761905,0.666666667,10,18,1,,,,,,
2007/12/13,167,5,0,3.916167665,0.562874251,11,26,2,,,,,,
2007/12/14,115,6,0,3.904347826,0.530434783,10,15,1,,,,,,
2007/12/15,73,7,1,4.095890411,0.260273973,10,4,1,,,,,,
2007/12/16,98,1,1,3.928571429,0.336734694,10,7,1,,,,,,
2007/12/17,141,2,0,3.843971631,0.482269504,3,17,2,,,,,,
2007/12/18,167,3,0,3.856287425,0.718562874,9,29,2,,,,,,
2007/12/19,188,4,0,3.909574468,0.271276596,15,12,3,,,,,,
2007/12/20,182,5,0,3.873626374,0.285714286,14,14,3,,,,,,
2007/12/21,154,6,0,4.077922078,0.467532468,11,19,2,,,,,,
2007/12/22,89,7,1,3.91011236,0.123595506,6,3,1,,,,,,
2007/12/23,82,1,1,3.963414634,0.146341463,5,3,1,,,,,,
2007/12/24,80,2,0,3.7125,0.25,5,5,1,,,,,,
2007/12/25,60,3,0,3.983333333,0.216666667,4,4,1,,,,,,
2007/12/26,103,4,0,3.796116505,0.203883495,5,5,1,,,,,,
2007/12/27,109,5,0,3.871559633,0.385321101,8,10,1,,,,,,
2007/12/28,99,6,0,3.929292929,0.262626263,7,6,1,,,,,,
2007/12/29,82,7,1,3.987804878,0.304878049,13,7,1,,,,,,
2007/12/30,81,1,1,3.962962963,0.456790123,4,9,1,,,,,,
2007/12/31,75,2,0,4.053333333,0.293333333,7,5,1,,,,,,
2008/1/1,66,3,0,3.803030303,0.106060606,7,2,1,,,,,,
2008/1/2,142,4,0,3.873239437,0.211267606,7,7,2,,,,,,
2008/1/3,141,5,0,3.929078014,0.170212766,14,5,2,,,,,,
2008/1/4,134,6,0,4.21641791,0.186567164,17,6,2,,,,,,
2008/1/5,111,7,1,3.837837838,0.234234234,5,5,1,,,,,,
2008/1/6,86,1,1,3.779069767,0.441860465,1,9,1,,,,,,
2008/1/7,148,2,0,3.993243243,0.398648649,10,11,2,,,,,,
2008/1/8,198,3,0,3.656565657,0.727272727,7,32,3,,,,,,
2008/1/9,167,4,0,3.916167665,0.640718563,13,26,2,,,,,,
2008/1/10,212,5,0,3.905660377,0.349056604,14,18,3,,,,,,
2008/1/11,168,6,0,3.93452381,0.476190476,14,18,2,,,,,,
2008/1/12,97,7,1,4.092783505,0.350515464,9,8,1,,,,,,
2008/1/13,85,1,1,3.588235294,0.423529412,3,7,1,,,,,,
2008/1/14,156,2,0,3.923076923,0.403846154,9,15,2,,,,,,
2008/1/15,142,3,0,4.161971831,0.478873239,15,16,2,,,,,,
2008/1/16,158,4,0,3.759493671,0.46835443,12,17,2,,,,,,
2008/1/17,172,5,0,3.726744186,0.470930233,11,19,3,,,,,,
2008/1/18,175,6,0,3.988571429,0.502857143,13,22,3,,,,,,
2008/1/19,101,7,1,3.98019802,0.336633663,12,8,1,,,,,,
2008/1/20,103,1,1,3.883495146,0.45631068,7,11,1,,,,,,
2008/1/21,136,2,0,3.955882353,0.294117647,10,10,2,,,,,,
2008/1/22,149,3,0,3.912751678,0.536912752,10,18,2,,,,,,
2008/1/23,189,4,0,3.756613757,0.444444444,13,21,3,,,,,,
2008/1/24,152,5,0,3.940789474,0.460526316,11,16,2,,,,,,
2008/1/25,140,6,0,3.892857143,0.585714286,8,21,2,,,,,,
2008/1/26,84,7,1,4.035714286,0.285714286,9,6,1,,,,,,
